SYSTEM:Time.1(s)	Veh_SIP:vehicle.acc.x.2(m_s2)	Veh_SIP:vehicle.acc.y.3(m_s2)	Veh_SIP:vehicle.acc.z.4(m_s2)	Veh_SIP:vehicle.z.5(mm)
15.040	4.694	4.723	0.363	1378.768
15.050	5.020	4.106	-0.312	1379.555
15.060	5.265	3.468	-1.075	1380.370
15.070	5.434	3.103	-1.809	1381.142
15.080	5.581	3.287	-2.397	1381.796
15.090	5.770	4.026	-2.765	1382.279
15.100	6.011	5.099	-2.890	1382.566
15.110	6.258	6.169	-2.794	1382.653
15.120	6.413	6.962	-2.536	1382.560
15.130	6.396	7.430	-2.188	1382.318
15.140	6.146	7.604	-1.817	1381.961
15.150	5.682	7.521	-1.472	1381.520
15.160	5.096	7.189	-1.178	1381.018
15.170	4.423	6.621	-0.918	1380.478
15.180	3.742	5.846	-0.668	1379.916
15.190	3.095	4.815	-0.409	1379.339
15.200	2.306	3.582	-0.135	1378.764
15.210	1.411	2.215	0.135	1378.203
15.220	0.484	0.848	0.366	1377.671
15.230	-0.487	-0.372	0.529	1377.177
15.240	-1.338	-1.231	0.593	1376.734
15.250	-1.943	-1.654	0.552	1376.346
15.260	-2.345	-1.736	0.426	1376.014
15.270	-2.671	-1.689	0.258	1375.728
15.280	-3.038	-1.742	0.095	1375.476
15.290	-3.563	-2.009	-0.022	1375.249
15.300	-4.228	-2.436	-0.074	1375.041
15.310	-4.903	-2.905	-0.062	1374.855
15.320	-5.509	-3.289	-0.006	1374.701
15.330	-5.916	-3.516	0.065	1374.603
15.340	-6.168	-3.641	0.122	1374.565
15.350	-6.335	-3.753	0.147	1374.597
15.360	-6.415	-3.930	0.137	1374.708
15.370	-6.453	-4.203	0.098	1374.903
15.380	-6.423	-4.512	0.048	1375.181
15.390	-6.269	-4.764	0.005	1375.541
15.400	-6.009	-4.856	-0.013	1375.979
15.410	-5.631	-4.731	-0.001	1376.491
15.420	-5.170	-4.422	0.036	1377.073
15.430	-4.679	-4.081	0.076	1377.722
15.440	-4.171	-3.940	0.095	1378.433
15.450	-3.619	-4.165	0.072	1379.201
15.460	-3.006	-4.627	0.004	1380.018
15.470	-2.356	-5.013	-0.100	1380.874
15.480	-1.712	-4.982	-0.223	1381.755
15.490	-1.125	-4.416	-0.346	1382.643
15.500	-0.631	-3.610	-0.453	1383.518
15.510	-0.131	-2.851	-0.540	1384.364
15.520	0.439	-2.374	-0.613	1385.167
15.530	1.114	-2.242	-0.681	1385.915
15.540	1.833	-2.267	-0.747	1386.602
15.550	2.536	-2.163	-0.808	1387.222
15.560	3.205	-1.707	-0.852	1387.772
15.570	3.810	-0.898	-0.865	1388.249
15.580	4.418	0.043	-0.832	1388.656
15.590	5.027	0.878	-0.743	1389.002
15.600	5.657	1.497	-0.595	1389.301
15.610	6.256	1.941	-0.398	1389.575
15.620	6.724	2.326	-0.177	1389.851
15.630	6.954	2.751	0.021	1390.157
15.640	6.958	3.216	0.150	1390.517
15.650	6.752	3.638	0.170	1390.945
15.660	6.406	3.896	0.055	1391.446
15.670	6.022	3.909	-0.188	1392.007
15.680	5.619	3.695	-0.519	1392.603
15.690	5.226	3.371	-0.880	1393.198
15.700	4.854	3.163	-1.202	1393.750
15.710	4.459	3.227	-1.431	1394.225
15.720	4.010	3.535	-1.534	1394.597
15.730	3.498	3.914	-1.502	1394.853
15.740	2.910	4.168	-1.353	1394.996
15.750	2.260	4.208	-1.120	1395.035
15.760	1.574	4.078	-0.843	1394.991
15.770	0.840	3.918	-0.563	1394.888
15.780	0.060	3.821	-0.297	1394.753
15.790	-0.776	3.782	-0.051	1394.608
15.800	-1.677	3.709	0.181	1394.480
15.810	-2.558	3.507	0.413	1394.394
15.820	-3.323	3.190	0.649	1394.377
15.830	-3.894	2.796	0.875	1394.460
15.840	-4.272	2.310	1.059	1394.670
15.850	-4.558	1.740	1.164	1395.010
15.860	-4.730	1.103	1.145	1395.504
15.870	-4.799	0.436	0.971	1396.157
15.880	-4.922	-0.141	0.673	1396.932
15.890	-5.060	-0.505	0.278	1397.812
15.900	-5.175	-0.673	-0.157	1398.762
15.910	-5.249	-0.808	-0.563	1399.742
15.920	-5.341	-1.099	-0.878	1400.717
15.930	-5.542	-1.676	-1.061	1401.655
15.940	-5.859	-2.477	-1.103	1402.541
15.950	-6.191	-3.273	-1.026	1403.375
15.960	-6.384	-3.820	-0.870	1404.167
15.970	-6.263	-3.972	-0.682	1404.935
15.980	-5.774	-3.764	-0.505	1405.696
15.990	-5.023	-3.418	-0.371	1406.459
16.000	-4.167	-3.181	-0.290	1407.232
16.010	-3.355	-3.183	-0.258	1408.013
16.020	-2.628	-3.359	-0.253	1408.799
16.030	-1.943	-3.574	-0.262	1409.587
16.040	-1.232	-3.670	-0.269	1410.372
16.050	-0.456	-3.548	-0.270	1411.150
16.060	0.364	-3.272	-0.272	1411.918
16.070	1.146	-2.982	-0.295	1412.673
16.080	1.819	-2.820	-0.357	1413.410
16.090	2.373	-2.816	-0.470	1414.122
16.100	2.851	-2.842	-0.630	1414.799
16.110	3.338	-2.684	-0.810	1415.427
16.120	3.876	-2.251	-0.968	1415.988
16.130	4.445	-1.681	-1.070	1416.471
16.140	5.002	-1.179	-1.091	1416.868
16.150	5.477	-0.908	-1.024	1417.181
16.160	5.821	-0.850	-0.885	1417.417
16.170	6.030	-0.843	-0.704	1417.593
16.180	6.127	-0.687	-0.520	1417.727
16.190	6.144	-0.259	-0.375	1417.839
16.200	6.095	0.352	-0.302	1417.943
16.210	5.959	0.939	-0.309	1418.046
16.220	5.711	1.343	-0.386	1418.146
16.230	5.369	1.524	-0.510	1418.237
16.240	4.940	1.608	-0.647	1418.304
16.250	4.484	1.768	-0.765	1418.331
16.260	4.049	2.105	-0.840	1418.303
16.270	3.608	2.573	-0.867	1418.212
16.280	3.152	3.037	-0.851	1418.054
16.290	2.656	3.397	-0.802	1417.831
16.300	2.080	3.623	-0.734	1417.544
16.310	1.456	3.777	-0.660	1417.202
16.320	0.833	3.968	-0.583	1416.812
16.330	0.234	4.240	-0.503	1416.381
16.340	-0.312	4.538	-0.415	1415.920
16.350	-0.859	4.733	-0.311	1415.438
16.360	-1.458	4.704	-0.187	1414.951
16.370	-2.102	4.426	-0.047	1414.473
16.380	-2.783	3.965	0.096	1414.018
16.390	-3.416	3.432	0.225	1413.603
16.400	-3.943	2.923	0.318	1413.242
16.410	-4.353	2.462	0.362	1412.945
16.420	-4.630	1.958	0.350	1412.719
16.430	-4.872	1.286	0.289	1412.565
16.440	-5.151	0.437	0.197	1412.478
16.450	-5.365	-0.439	0.097	1412.449
16.460	-5.507	-1.080	0.007	1412.469
16.470	-5.475	-1.329	-0.063	1412.530
16.480	-5.270	-1.277	-0.118	1412.625
16.490	-4.971	-1.170	-0.173	1412.747
16.500	-4.607	-1.266	-0.242	1412.888
16.510	-4.285	-1.642	-0.337	1413.038
16.520	-4.008	-2.141	-0.460	1413.184
16.530	-3.730	-2.519	-0.600	1413.315
16.540	-3.412	-2.620	-0.732	1413.414
16.550	-3.025	-2.503	-0.825	1413.465
16.560	-2.553	-2.385	-0.856	1413.458
16.570	-2.067	-2.656	-0.803	1413.387
16.580	-1.623	-3.059	-0.674	1413.255
16.590	-1.273	-3.256	-0.501	1413.076
16.600	-0.917	-3.267	-0.319	1412.864
16.610	-0.433	-3.328	-0.165	1412.638
16.620	0.187	-3.650	-0.061	1412.413
16.630	0.841	-4.343	-0.015	1412.200
16.640	1.424	-5.212	-0.018	1412.010
16.650	1.935	-5.800	-0.051	1411.846
16.660	2.462	-5.777	-0.098	1411.711
16.670	3.091	-5.147	-0.153	1411.601
16.680	3.802	-4.264	-0.226	1411.509
16.690	4.435	-3.605	-0.336	1411.426
16.700	4.847	-3.373	-0.493	1411.341
16.710	5.010	-3.425	-0.694	1411.238
16.720	4.986	-3.424	-0.915	1411.099
16.730	4.910	-3.083	-1.121	1410.901
16.740	4.896	-2.394	-1.276	1410.621
16.750	4.966	-1.568	-1.351	1410.242
16.760	5.034	-0.884	-1.335	1409.754
16.770	4.996	-0.468	-1.229	1409.157
16.780	4.786	-0.229	-1.051	1408.459
16.790	4.412	0.078	-0.830	1407.675
16.800	3.953	0.671	-0.596	1406.825
16.810	3.487	1.550	-0.379	1405.930
16.820	3.046	2.500	-0.195	1405.011
16.830	2.590	3.270	-0.050	1404.090
16.840	2.030	3.781	0.066	1403.183
16.850	1.311	4.075	0.172	1402.307
16.860	0.523	4.306	0.277	1401.472
16.870	-0.269	4.534	0.378	1400.686
16.880	-0.954	4.751	0.463	1399.964
16.890	-1.500	4.881	0.516	1399.320
16.900	-1.924	4.850	0.521	1398.761
16.910	-2.235	4.643	0.464	1398.290
16.920	-2.485	4.346	0.340	1397.903
16.930	-2.714	4.118	0.153	1397.588
16.940	-2.924	4.082	-0.076	1397.328
16.950	-3.119	4.243	-0.318	1397.102
16.960	-3.308	4.514	-0.543	1396.890
16.970	-3.483	4.777	-0.721	1396.676
16.980	-3.638	4.940	-0.831	1396.444
16.990	-3.756	4.952	-0.862	1396.185
17.000	-3.853	4.838	-0.820	1395.894
17.010	-3.931	4.666	-0.723	1395.575
17.020	-3.998	4.479	-0.595	1395.235
17.030	-4.029	4.091	-0.453	1394.883
17.040	-4.022	3.416	-0.303	1394.528
17.050	-3.982	2.485	-0.143	1394.178
17.060	-3.919	1.458	0.030	1393.842
17.070	-3.841	0.561	0.223	1393.530
17.080	-3.668	-0.081	0.431	1393.257
17.090	-3.321	-0.501	0.636	1393.037
17.100	-2.774	-0.838	0.801	1392.888
17.110	-2.047	-1.198	0.888	1392.823
17.120	-1.244	-1.580	0.858	1392.847
17.130	-0.509	-1.875	0.695	1392.958
17.140	0.072	-1.996	0.416	1393.137
17.150	0.487	-1.995	0.067	1393.360
17.160	0.846	-2.059	-0.287	1393.594
17.170	1.251	-2.408	-0.581	1393.806
17.180	1.739	-3.135	-0.762	1393.972
17.190	2.313	-4.096	-0.808	1394.078
17.200	2.880	-5.016	-0.735	1394.128
17.210	3.335	-5.669	-0.582	1394.135
17.220	3.669	-5.971	-0.408	1394.123
17.230	3.885	-6.011	-0.268	1394.113
17.240	4.045	-5.940	-0.203	1394.122
17.250	4.207	-5.880	-0.226	1394.160
17.260	4.306	-5.833	-0.321	1394.225
17.270	4.319	-5.698	-0.452	1394.308
17.280	4.231	-5.402	-0.577	1394.396
17.290	4.037	-4.944	-0.663	1394.474
17.300	3.831	-4.421	-0.696	1394.529
17.310	3.621	-3.935	-0.679	1394.552
17.320	3.420	-3.561	-0.630	1394.540
17.330	3.232	-3.307	-0.576	1394.492
17.340	2.986	-3.071	-0.533	1394.408
17.350	2.687	-2.709	-0.507	1394.282
17.360	2.349	-2.218	-0.484	1394.120
17.370	1.971	-1.612	-0.448	1393.921
17.380	1.590	-0.963	-0.382	1393.683
17.390	1.177	-0.342	-0.267	1393.410
17.400	0.717	0.236	-0.101	1393.112
17.410	0.175	0.799	0.109	1392.805
17.420	-0.454	1.380	0.342	1392.511
17.430	-1.110	1.987	0.565	1392.255
17.440	-1.747	2.572	0.743	1392.065
17.450	-2.318	3.099	0.847	1391.965
17.460	-2.797	3.524	0.864	1391.971
17.470	-3.223	3.818	0.796	1392.090
17.480	-3.608	3.989	0.657	1392.325
17.490	-3.924	4.073	0.472	1392.668
17.500	-4.184	4.107	0.268	1393.106
17.510	-4.340	4.143	0.064	1393.624
17.520	-4.387	4.263	-0.127	1394.206
17.530	-4.365	4.507	-0.303	1394.837
17.540	-4.285	4.883	-0.469	1395.501
17.550	-4.210	5.346	-0.630	1396.188
17.560	-4.155	5.806	-0.789	1396.885
17.570	-4.040	6.223	-0.939	1397.577
17.580	-3.910	6.581	-1.069	1398.255
17.590	-3.740	6.860	-1.164	1398.908
17.600	-3.483	7.047	-1.212	1399.525
17.610	-3.225	7.114	-1.208	1400.100
17.620	-2.957	7.035	-1.158	1400.627
17.630	-2.635	6.778	-1.075	1401.106
17.640	-2.301	6.342	-0.978	1401.537
17.650	-1.878	5.740	-0.884	1401.918
17.660	-1.421	5.048	-0.804	1402.254
17.670	-0.949	4.248	-0.742	1402.541
17.680	-0.405	3.263	-0.690	1402.777
17.690	0.202	2.021	-0.629	1402.957
17.700	0.871	0.575	-0.538	1403.083
17.710	1.601	-0.969	-0.399	1403.159
17.720	2.456	-2.609	-0.205	1403.196
17.730	3.597	-4.225	0.042	1403.216
17.740	4.251	-4.820	0.297	1403.250
17.750	3.970	-4.070	0.485	1403.327
17.760	3.213	-2.682	0.531	1403.470
17.770	2.748	-1.749	0.390	1403.683
17.780	2.973	-1.851	0.063	1403.948
17.790	3.756	-2.922	-0.402	1404.238
17.800	4.646	-4.529	-0.914	1404.519
17.810	5.172	-6.054	-1.362	1404.760
17.820	5.118	-7.041	-1.646	1404.932
17.830	4.592	-7.376	-1.697	1405.017
17.840	4.027	-7.426	-1.525	1405.013
17.850	3.765	-7.615	-1.211	1404.940
17.860	3.821	-8.067	-0.866	1404.829
17.870	3.970	-8.606	-0.586	1404.715
17.880	3.888	-8.865	-0.444	1404.632
17.890	3.361	-8.561	-0.452	1404.595
17.900	2.468	-7.748	-0.558	1404.597
17.910	1.555	-6.756	-0.688	1404.618
17.920	0.925	-5.942	-0.774	1404.634
17.930	0.634	-5.504	-0.770	1404.624
17.940	0.533	-5.364	-0.668	1404.584
17.950	0.354	-5.260	-0.494	1404.518
17.960	-0.119	-4.904	-0.299	1404.438
17.970	-0.788	-4.268	-0.144	1404.357
17.980	-1.422	-3.556	-0.068	1404.289
17.990	-1.850	-2.956	-0.069	1404.228
18.000	-2.016	-2.617	-0.130	1404.174
18.010	-2.094	-2.421	-0.200	1404.116
18.020	-2.257	-2.176	-0.243	1404.049
18.030	-2.593	-1.749	-0.216	1403.968
18.040	-3.053	-1.093	-0.111	1403.877
18.050	-3.536	-0.286	0.047	1403.789
18.060	-3.938	0.597	0.233	1403.725
18.070	-4.206	1.478	0.412	1403.706
18.080	-4.362	2.285	0.551	1403.754
18.090	-4.468	3.002	0.628	1403.892
18.100	-4.583	3.680	0.635	1404.132
18.110	-4.704	4.343	0.577	1404.486
18.120	-4.734	4.952	0.473	1404.957
18.130	-4.605	5.459	0.344	1405.543
18.140	-4.293	5.835	0.204	1406.238
18.150	-3.806	6.121	0.054	1407.032
18.160	-3.229	6.377	-0.115	1407.915
18.170	-2.650	6.650	-0.315	1408.872
18.180	-2.115	6.964	-0.553	1409.886
18.190	-1.631	7.314	-0.826	1410.937
18.200	-1.185	7.650	-1.115	1412.001
18.210	-0.728	7.891	-1.390	1413.053
18.220	-0.212	7.990	-1.617	1414.068
18.230	0.333	7.966	-1.776	1415.025
18.240	0.873	7.894	-1.860	1415.907
18.250	1.377	7.839	-1.882	1416.702
18.260	1.826	7.803	-1.869	1417.406
18.270	2.246	7.726	-1.852	1418.016
18.280	2.639	7.548	-1.854	1418.531
18.290	3.000	7.254	-1.883	1418.948
18.300	3.324	6.886	-1.936	1419.257
18.310	3.591	6.531	-1.994	1419.447
18.320	3.796	6.252	-2.035	1419.506
18.330	3.958	6.034	-2.039	1419.427
18.340	4.107	5.724	-1.988	1419.201
18.350	4.281	5.136	-1.871	1418.830
18.360	4.504	3.989	-1.681	1418.317
18.370	4.776	1.962	-1.410	1417.673
18.380	5.041	-0.955	-1.046	1416.917
18.390	5.309	-4.279	-0.584	1416.081
18.400	5.548	-7.270	-0.046	1415.207
18.410	5.484	-9.050	0.510	1414.353
18.420	4.971	-9.237	0.999	1413.580
18.430	4.090	-8.263	1.325	1412.943
18.440	3.095	-6.816	1.409	1412.471
18.450	2.350	-5.567	1.207	1412.171
18.460	2.001	-4.754	0.728	1412.022
18.470	1.663	-4.011	0.050	1411.972
18.480	1.078	-3.156	-0.705	1411.954
18.490	0.415	-2.464	-1.388	1411.891
18.500	-0.109	-2.414	-1.858	1411.709
18.510	-0.447	-3.211	-2.039	1411.366
18.520	-0.653	-4.771	-1.919	1410.856
18.530	-0.955	-6.800	-1.544	1410.203
18.540	-1.434	-8.812	-1.000	1409.460
18.550	-2.067	-10.345	-0.389	1408.696
18.560	-2.761	-11.098	0.184	1407.987
18.570	-3.249	-11.014	0.639	1407.393
18.580	-3.427	-10.300	0.922	1406.962
18.590	-3.380	-9.214	1.018	1406.714
18.600	-3.176	-7.968	0.942	1406.648
18.610	-3.055	-6.683	0.729	1406.744
18.620	-3.104	-5.362	0.427	1406.969
18.630	-3.229	-4.028	0.083	1407.284
18.640	-3.352	-2.828	-0.258	1407.645
18.650	-3.321	-1.970	-0.564	1408.011
18.660	-3.113	-1.565	-0.810	1408.348
18.670	-2.840	-1.496	-0.979	1408.628
18.680	-2.599	-1.479	-1.065	1408.830
18.690	-2.505	-1.214	-1.071	1408.942
18.700	-2.540	-0.642	-1.008	1408.960
18.710	-2.606	0.074	-0.887	1408.892
18.720	-2.682	0.735	-0.712	1408.749
18.730	-2.699	1.283	-0.477	1408.549
18.740	-2.575	1.971	-0.179	1408.320
18.750	-2.284	3.175	0.177	1408.096
18.760	-1.759	4.885	0.555	1407.920
18.770	-1.075	6.659	0.897	1407.841
18.780	-0.285	7.882	1.132	1407.906
18.790	0.519	8.159	1.196	1408.150
18.800	1.164	7.545	1.047	1408.587
18.810	1.604	6.588	0.687	1409.199
18.820	1.872	5.873	0.155	1409.947
18.830	2.060	5.716	-0.476	1410.776
18.840	2.279	6.002	-1.111	1411.623
18.850	2.552	6.359	-1.656	1412.431
18.860	2.846	6.496	-2.039	1413.154
18.870	3.086	6.371	-2.223	1413.754
18.880	3.195	6.218	-2.218	1414.213
18.890	3.164	6.323	-2.077	1414.528
18.900	3.034	6.752	-1.871	1414.713
18.910	2.855	7.291	-1.665	1414.790
18.920	2.681	7.617	-1.493	1414.780
18.930	2.494	7.590	-1.362	1414.701
18.940	2.266	7.306	-1.249	1414.559
18.950	2.046	6.914	-1.128	1414.359
18.960	1.845	6.517	-0.979	1414.103
18.970	1.719	6.036	-0.797	1413.797
18.980	1.656	5.316	-0.596	1413.449
18.990	1.564	4.234	-0.404	1413.069
19.000	1.473	2.834	-0.258	1412.667
19.010	1.324	1.343	-0.168	1412.247
19.020	1.107	-0.072	-0.137	1411.812
19.030	0.881	-1.292	-0.143	1411.362
19.040	0.674	-2.428	-0.132	1410.893
19.050	0.428	-3.579	-0.073	1410.414
19.060	0.139	-4.663	0.051	1409.938
19.070	-0.281	-5.559	0.220	1409.481
19.080	-0.791	-6.109	0.405	1409.068
19.090	-1.330	-6.223	0.558	1408.726
19.100	-1.868	-6.043	0.631	1408.478
19.110	-2.229	-5.706	0.591	1408.338
19.120	-2.460	-5.327	0.428	1408.306
19.130	-2.646	-5.068	0.168	1408.370
19.140	-2.801	-4.849	-0.139	1408.505
19.150	-3.067	-4.747	-0.432	1408.684
19.160	-3.324	-4.759	-0.653	1408.883
19.170	-3.484	-4.934	-0.770	1409.081
19.180	-3.489	-5.405	-0.781	1409.272
19.190	-3.300	-6.207	-0.713	1409.459
19.200	-2.968	-7.272	-0.605	1409.655
19.210	-2.574	-8.216	-0.502	1409.877
19.220	-2.173	-8.702	-0.432	1410.141
19.230	-1.805	-8.661	-0.413	1410.452
19.240	-1.481	-8.239	-0.447	1410.807
19.250	-1.200	-7.654	-0.529	1411.194
19.260	-0.950	-7.064	-0.645	1411.594
19.270	-0.716	-6.446	-0.780	1411.985
19.280	-0.477	-5.720	-0.916	1412.343
19.290	0.027	-4.873	-1.038	1412.647
19.300	0.213	-3.982	-1.139	1412.875
19.310	0.277	-3.192	-1.210	1413.007
19.320	0.414	-2.558	-1.244	1413.031
19.330	0.734	-1.959	-1.226	1412.937
19.340	1.191	-1.267	-1.145	1412.725
19.350	1.697	-0.400	-0.990	1412.399
19.360	2.119	0.651	-0.756	1411.974
19.370	2.398	1.767	-0.449	1411.473
19.380	2.547	2.739	-0.086	1410.928
19.390	2.632	3.425	0.292	1410.384
19.400	2.729	3.851	0.636	1409.880
19.410	2.840	4.146	0.895	1409.454
19.420	2.952	4.479	1.015	1409.137
19.430	3.029	4.932	0.965	1408.948
19.440	3.036	5.473	0.747	1408.886
19.450	3.024	5.987	0.393	1408.937
19.460	3.009	6.342	-0.031	1409.072
19.470	3.011	6.502	-0.453	1409.257
19.480	3.034	6.502	-0.807	1409.454
19.490	3.003	6.449	-1.047	1409.630
19.500	2.890	6.452	-1.166	1409.762
19.510	2.719	6.521	-1.183	1409.837
19.520	2.513	6.581	-1.139	1409.853
19.530	2.308	6.552	-1.074	1409.813
19.540	2.076	6.380	-1.023	1409.722
19.550	1.807	6.089	-1.000	1409.582
19.560	1.497	5.764	-0.996	1409.390
19.570	1.107	5.480	-0.988	1409.142
19.580	0.681	5.243	-0.950	1408.836
19.590	0.252	4.970	-0.856	1408.471
19.600	-0.241	4.570	-0.696	1408.055
19.610	-0.801	4.031	-0.470	1407.598
19.620	-1.494	3.364	-0.197	1407.125
19.630	-2.230	2.625	0.098	1406.662
19.640	-2.858	1.894	0.382	1406.240
19.650	-3.373	1.175	0.626	1405.883
19.660	-3.643	0.519	0.798	1405.612
19.670	-3.660	-0.027	0.867	1405.448
19.680	-3.509	-0.480	0.815	1405.396
19.690	-3.329	-0.858	0.640	1405.452
19.700	-3.313	-1.186	0.363	1405.599
19.710	-3.534	-1.535	0.031	1405.816
19.720	-3.888	-1.995	-0.283	1406.065
19.730	-4.344	-2.637	-0.526	1406.323
19.740	-4.859	-3.461	-0.670	1406.578
19.750	-5.416	-4.489	-0.688	1406.826
19.760	-6.025	-5.702	-0.580	1407.079
19.770	-6.599	-6.969	-0.365	1407.359
19.780	-7.082	-8.094	-0.084	1407.700
19.790	-7.354	-8.882	0.204	1408.142
19.800	-7.144	-9.068	0.440	1408.720
19.810	-6.383	-8.497	0.569	1409.459
19.820	-5.094	-7.327	0.553	1410.358
19.830	-3.473	-5.949	0.376	1411.397
19.840	-1.931	-4.771	0.045	1412.539
19.850	-0.844	-4.082	-0.401	1413.730
19.860	-0.364	-3.910	-0.891	1414.915
19.870	-0.350	-4.057	-1.341	1416.043
19.880	-0.410	-4.252	-1.662	1417.067
19.890	-0.216	-4.339	-1.796	1417.954
19.900	0.326	-4.356	-1.733	1418.691
19.910	1.069	-4.436	-1.508	1419.278
19.920	1.704	-4.689	-1.187	1419.733
19.930	2.014	-5.044	-0.846	1420.086
19.940	2.033	-5.206	-0.543	1420.369
19.950	1.976	-4.855	-0.306	1420.609
19.960	2.111	-3.873	-0.132	1420.828
19.970	2.527	-2.458	0.008	1421.041
19.980	3.106	-0.901	0.140	1421.260
19.990	3.603	0.514	0.280	1421.500
20.000	3.837	1.638	0.425	1421.778
